go	va
run	cours
run	courez
jump	saute
stop	stop
wait	attends
wait	attendez
i see	je comprends
i try	j essaye
oh no	oh non
attack	attaque
attack	attaquez
cheers	sante
cheers	merci
get up	leve toi
i know	je sais
listen	ecoutez
really	vraiment
really	vrai
thanks	merci
we try	on essaye
we won	nous gagnames
awesome	fantastique
be calm	sois calme
be calm	soyez calme
be calm	soyez calmes
be cool	sois detendu
be fair	sois juste
be fair	soyez juste
be fair	soyez justes
be fair	sois equitable
be fair	soyez equitable
be fair	soyez equitables
be kind	sois gentil
be nice	sois gentil
be nice	sois gentille
be nice	soyez gentil
be nice	soyez gentille
be nice	soyez gentils
be nice	soyez gentilles
call me	appelle moi
call me	appellez moi
call us	appelle nous
call us	appelez nous
drop it	laisse tomber
drop it	laissez tomber
get out	casse toi
go slow	va doucement
go slow	allez doucement
hang on	tiens bon
hang on	tenez bon
he runs	il court
help me	aide moi
help me	aide moi
help me	aidez moi
help us	aidez nous
help us	aide nous
i tried	j essayai
it s me	c est bibi
join us	joignez vous
keep it	garde le
keep it	gardez le
kiss me	embrasse moi
kiss me	embrassez moi
me too	moi aussi
open up	ouvre moi
perfect	parfait
see you	a plus
show me	montre moi
show me	montrez moi
shut up	taisez vous
shut up	ferme la
shut up	tais toi
shut up	ferme la
shut up	la ferme
take it	prends le
take it	prenez le
tell me	dis moi
tell me	dites moi
wake up	reveille toi
wake up	reveille toi
wake up	reveillez vous
wake up	reveille toi
wake up	reveillez vous
wash up	lave toi
wash up	lavez vous
we know	nous savons
we lost	nous perdimes
you run	tu cours
am i fat	suis je gros
am i fat	suis je grosse
back off	retire toi
back off	retirez vous
be a man	sois un homme
be a man	soyez un homme
be still	sois calme
be still	soyez calme
be still	soyez calmes
beats me	aucune idee
call tom	appelle tom
call tom	appelez tom
cool off	detends toi
cuff him	menottez le
get down	lache toi
get down	lache toi
get down	lachez vous
get real	sois realiste
go ahead	vas y
go ahead	passe devant
go ahead	vas y
good job	bien joue
good job	bon boulot
good job	beau travail
grab him	attrape le
grab him	attrapez le
he tries	il essaye
how deep	quelle profondeur
hurry up	depeche toi
hurry up	pressez vous
i get it	j ai compris
i got it	j ai compris
i got it	j ai capte
i phoned	je telephonai
i refuse	je refuse
i use it	je l utilise
i ve won	j ai gagne
it works	elle marche
it works	ca fonctionne
it s new	c est nouveau
it s new	c est neuf
it s odd	c est bizarre
it s sad	c est triste
leave it	laisse tomber
leave it	laissez tomber
leave me	laissez moi
leave us	laisse nous
leave us	laissez nous
marry me	epouse moi
marry me	epousez moi
may i go	puis je partir
she runs	elle court
sit down	assieds toi
sit down	asseyez vous
stop tom	arrete tom
stop tom	stoppez tom
terrific	genial
terrific	excellent
terrific	formidable
they won	ils gagnerent
they won	elles gagnerent
tom left	tom partit
too late	trop tard
try some	essaies en
try some	essayez en
try this	essaie ceci
try this	essayez ceci
use this	utilise ceci
use this	utilisez ceci
use this	emploie ceci
use this	employez ceci
warn tom	avertis tom
warn tom	previens tom
watch me	regarde moi
watch me	regardez moi
watch us	regardez nous
watch us	regarde nous
who s he	qui est il
write me	ecris moi
write me	ecrivez moi
after you	apres vous
answer me	repondez moi
be seated	assieds toi
be seated	asseyez vous
calm down	calmez vous
calm down	calme toi
can we go	pouvons nous partir
catch him	rattrape le
come here	viens ici
come here	venez la
come over	venez ici
come soon	viens bientot
come soon	venez bientot
cool down	calmez vous
did i win	ai je gagne
don t ask	ne demande pas
don t cry	ne pleure pas
don t die	ne meurs pas
don t die	ne mourez pas
don t lie	ne mens pas
don t run	ne courez pas
don t run	ne cours pas
excuse me	excuse moi
fantastic	fantastique
feel this	sens ca
feel this	sentez ca
feel this	touche ca
feel this	touchez ca
follow me	suis moi
follow us	suis nous
follow us	suivez nous
forget it	oublie le
forget it	oubliez le
forget it	laisse tomber
get a job	trouve un emploi
get a job	trouve un boulot
get a job	trouvez un emploi
get a job	trouvez un boulot
get ready	prepare toi
get ready	preparez vous
go get it	va le chercher
go get it	allez le chercher
go to bed	va au lit
go to bed	allez au lit
good luck	bonne chance
good luck	bonne chance
grab that	attrape ca
grab that	attrapez ca
grab this	attrape ca
grab this	attrapez ca
hands off	pas touche
hold this	tiens ca
hold this	tenez ca
